Balls,Threads,Time,Clear time,Add to grid time,Collision time
30000,1,0.013754,0.000910,0.010239,0.002605
30000,2,0.009403,0.000749,0.007129,0.001524
30000,3,0.010756,0.000868,0.008191,0.001698
30000,4,0.011674,0.000957,0.008884,0.001834
30000,5,0.009340,0.000801,0.007039,0.001499
30000,6,0.008440,0.000693,0.006400,0.001347
30000,7,0.006886,0.000575,0.005253,0.001058
30000,8,0.006077,0.000527,0.004565,0.000984
30000,9,0.005506,0.000482,0.004154,0.000870
30000,10,0.004929,0.000434,0.003723,0.000772
30000,11,0.004656,0.000412,0.003455,0.000789
30000,12,0.004278,0.000391,0.003178,0.000709
30000,13,0.004004,0.000370,0.002998,0.000636
30000,14,0.004006,0.000381,0.002914,0.000711
30000,15,0.003540,0.000344,0.002595,0.000601
30000,16,0.003375,0.000336,0.002469,0.000570
30000,17,0.003591,0.000396,0.002516,0.000679
30000,18,0.003499,0.000301,0.002524,0.000674
30000,19,0.003494,0.000341,0.002654,0.000498
30000,20,0.003416,0.000278,0.002457,0.000680
30000,21,0.003678,0.000302,0.002752,0.000624
30000,22,0.003831,0.000538,0.002595,0.000698
30000,23,0.003560,0.000518,0.002392,0.000650
30000,24,0.003918,0.000710,0.002640,0.000569
30000,25,0.003741,0.000278,0.002455,0.001008
30000,26,0.004168,0.000623,0.002245,0.001301
30000,27,0.003901,0.000467,0.002500,0.000934
30000,28,0.004171,0.000288,0.003095,0.000789
30000,29,0.004272,0.000487,0.002391,0.001394
30000,30,0.004573,0.000932,0.002973,0.000669
30000,31,0.004304,0.000719,0.002712,0.000872
30000,32,0.004564,0.000291,0.003113,0.001160
