Balls,Threads,Time,Clear time,Add to grid time,Collision time
10000,1,0.002319,0.000316,0.001643,0.000360
15000,1,0.003499,0.000411,0.002540,0.000549
20000,1,0.004766,0.000487,0.003460,0.000819
25000,1,0.006348,0.000615,0.004443,0.001290
30000,1,0.008053,0.000776,0.005426,0.001851
35000,1,0.010110,0.000966,0.006548,0.002596
40000,1,0.014200,0.001373,0.008558,0.004269
45000,1,0.016097,0.001567,0.009245,0.005284
50000,1,0.019647,0.001879,0.010721,0.007047
