Balls,Threads,Time,Clear time,Add to grid time,Collision time
10000,1,0.003437,0.000347,0.002657,0.000434
10000,2,0.005760,0.000467,0.004403,0.000890
10000,3,0.004364,0.000363,0.003297,0.000704
10000,4,0.003477,0.000272,0.002689,0.000516
10000,5,0.002857,0.000229,0.002182,0.000446
10000,6,0.002502,0.000202,0.001896,0.000404
10000,7,0.002177,0.000176,0.001645,0.000356
10000,8,0.001947,0.000161,0.001470,0.000315
10000,9,0.001766,0.000155,0.001321,0.000290
10000,10,0.001509,0.000145,0.001118,0.000247
10000,11,0.001383,0.000135,0.001021,0.000227
10000,12,0.001292,0.000131,0.000955,0.000206
10000,13,0.001230,0.000129,0.000910,0.000191
10000,14,0.001187,0.000136,0.000848,0.000203
10000,15,0.001095,0.000127,0.000791,0.000177
10000,16,0.001064,0.000118,0.000768,0.000179
10000,17,0.001079,0.000128,0.000753,0.000198
10000,18,0.001043,0.000139,0.000732,0.000173
10000,19,0.001151,0.000155,0.000747,0.000249
10000,20,0.001132,0.000143,0.000821,0.000169
10000,21,0.001124,0.000140,0.000787,0.000198
10000,22,0.001156,0.000185,0.000737,0.000234
10000,23,0.001340,0.000168,0.001013,0.000159
10000,24,0.001401,0.000121,0.000814,0.000466
10000,25,0.001217,0.000205,0.000880,0.000132
10000,26,0.001298,0.000232,0.000937,0.000129
10000,27,0.001293,0.000182,0.000872,0.000238
10000,28,0.001260,0.000115,0.000812,0.000333
10000,29,0.001352,0.000307,0.000724,0.000322
10000,30,0.001420,0.000119,0.001040,0.000261
10000,31,0.001396,0.000192,0.000948,0.000256
10000,32,0.001504,0.000284,0.001023,0.000198
